domain,table,priority,purpose,read_write,partition,soft_delete
D12_AUDIT_ANALYTICS_REPORTING,release_checklists,P1,"Lưu dữ liệu nghiệp vụ cho release checklists; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,system_settings,P2,"Lưu dữ liệu nghiệp vụ cho system settings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,system_announcements,P2,"Lưu dữ liệu nghiệp vụ cho system announcements; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,maintenance_windows,P2,"Lưu dữ liệu nghiệp vụ cho maintenance windows; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,rate_limit_configs,P2,"Lưu dữ liệu nghiệp vụ cho rate limit configs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,email_templates,P2,"Lưu dữ liệu nghiệp vụ cho email templates; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,email_template_versions,P2,"Lưu dữ liệu nghiệp vụ cho email template versions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,system_health_logs,P2,"Lưu dữ liệu nghiệp vụ cho system health logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Không — log/audit immutable, chỉ archive theo retention policy."
D01_SYSTEM_TENANT,tenants,P2,"Lưu dữ liệu nghiệp vụ cho tenants; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_settings,P2,"Lưu dữ liệu nghiệp vụ cho tenant settings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_subscriptions,P2,"Lưu dữ liệu nghiệp vụ cho tenant subscriptions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_subscription_plans,P2,"Lưu dữ liệu nghiệp vụ cho tenant subscription plans; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_billing_history,P2,"Lưu dữ liệu nghiệp vụ cho tenant billing history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_feature_overrides,P2,"Lưu dữ liệu nghiệp vụ cho tenant feature overrides; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_storage_quotas,P2,"Lưu dữ liệu nghiệp vụ cho tenant storage quotas; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D01_SYSTEM_TENANT,tenant_security_policies,P2,"Lưu dữ liệu nghiệp vụ cho tenant security policies; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_preferences,P2,"Lưu dữ liệu nghiệp vụ cho user preferences; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_sessions,P2,"Lưu dữ liệu nghiệp vụ cho user sessions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_refresh_tokens,P2,"Lưu dữ liệu nghiệp vụ cho user refresh tokens; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_password_history,P2,"Lưu dữ liệu nghiệp vụ cho user password history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_mfa_configs,P2,"Lưu dữ liệu nghiệp vụ cho user mfa configs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_mfa_backup_codes,P2,"Lưu dữ liệu nghiệp vụ cho user mfa backup codes; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_login_history,P2,"Lưu dữ liệu nghiệp vụ cho user login history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Không — log/audit immutable, chỉ archive theo retention policy."
D02_IDENTITY_AUTH,user_email_verifications,P2,"Lưu dữ liệu nghiệp vụ cho user email verifications; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_password_resets,P2,"Lưu dữ liệu nghiệp vụ cho user password resets; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,oauth_providers,P2,"Lưu dữ liệu nghiệp vụ cho oauth providers; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,oauth_connections,P2,"Lưu dữ liệu nghiệp vụ cho oauth connections; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,api_keys,P2,"Lưu dữ liệu nghiệp vụ cho api keys; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,api_key_permissions,P2,"Lưu dữ liệu nghiệp vụ cho api key permissions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_devices,P2,"Lưu dữ liệu nghiệp vụ cho user devices; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D02_IDENTITY_AUTH,user_notification_tokens,P2,"Lưu dữ liệu nghiệp vụ cho user notification tokens; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_settings,P2,"Lưu dữ liệu nghiệp vụ cho organization settings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_member_invitations,P2,"Lưu dữ liệu nghiệp vụ cho organization member invitations; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_roles,P2,"Lưu dữ liệu nghiệp vụ cho organization roles; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_role_permissions,P2,"Lưu dữ liệu nghiệp vụ cho organization role permissions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_departments,P2,"Lưu dữ liệu nghiệp vụ cho organization departments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_tags,P2,"Lưu dữ liệu nghiệp vụ cho organization tags; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_custom_field_values,P2,"Lưu dữ liệu nghiệp vụ cho organization custom field values; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_working_calendars,P2,"Lưu dữ liệu nghiệp vụ cho organization working calendars; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D03_ORGANIZATION,organization_holidays,P2,"Lưu dữ liệu nghiệp vụ cho organization holidays; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_member_roles,P2,"Lưu dữ liệu nghiệp vụ cho project member roles; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_invitations,P2,"Lưu dữ liệu nghiệp vụ cho project invitations; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_custom_field_values,P2,"Lưu dữ liệu nghiệp vụ cho project custom field values; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_templates,P2,"Lưu dữ liệu nghiệp vụ cho project templates; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_health_snapshots,P2,"Lưu dữ liệu nghiệp vụ cho project health snapshots; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_archived_reasons,P2,"Lưu dữ liệu nghiệp vụ cho project archived reasons; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_customer_access_policies,P2,"Lưu dữ liệu nghiệp vụ cho project customer access policies; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_source_links,P2,"Lưu dữ liệu nghiệp vụ cho project source links; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_change_requests,P2,"Lưu dữ liệu nghiệp vụ cho project change requests; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D04_PROJECT,project_decision_logs,P2,"Lưu dữ liệu nghiệp vụ cho project decision logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_watchers,P2,"Lưu dữ liệu nghiệp vụ cho task watchers; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_custom_field_values,P2,"Lưu dữ liệu nghiệp vụ cho task custom field values; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_estimated_times,P2,"Lưu dữ liệu nghiệp vụ cho task estimated times; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_actual_times,P2,"Lưu dữ liệu nghiệp vụ cho task actual times; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D05_TASK_WORKFLOW,task_activity_logs,P2,"Lưu dữ liệu nghiệp vụ cho task activity logs; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_evidence_attachments,P2,"Lưu dữ liệu nghiệp vụ cho task evidence attachments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_dependency_types,P2,"Lưu dữ liệu nghiệp vụ cho task dependency types; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,dependency_impact_analysis,P2,"Lưu dữ liệu nghiệp vụ cho dependency impact analysis; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_blockers,P2,"Lưu dữ liệu nghiệp vụ cho task blockers; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D06_EVIDENCE_APPROVAL_DEPENDENCY,task_risk_flags,P2,"Lưu dữ liệu nghiệp vụ cho task risk flags; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_boards,P2,"Lưu dữ liệu nghiệp vụ cho kanban boards; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_column_limits,P2,"Lưu dữ liệu nghiệp vụ cho kanban column limits; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_cards,P2,"Lưu dữ liệu nghiệp vụ cho kanban cards; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_card_orders,P2,"Lưu dữ liệu nghiệp vụ cho kanban card orders; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_swimlanes,P2,"Lưu dữ liệu nghiệp vụ cho kanban swimlanes; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_filters,P2,"Lưu dữ liệu nghiệp vụ cho kanban filters; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,kanban_saved_filters,P2,"Lưu dữ liệu nghiệp vụ cho kanban saved filters; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_goals,P2,"Lưu dữ liệu nghiệp vụ cho sprint goals; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_capacity_plans,P2,"Lưu dữ liệu nghiệp vụ cho sprint capacity plans; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_member_capacities,P2,"Lưu dữ liệu nghiệp vụ cho sprint member capacities; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_velocity_history,P2,"Lưu dữ liệu nghiệp vụ cho sprint velocity history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,sprint_retrospectives,P2,"Lưu dữ liệu nghiệp vụ cho sprint retrospectives; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,timeline_views,P2,"Lưu dữ liệu nghiệp vụ cho timeline views; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,timeline_milestones,P2,"Lưu dữ liệu nghiệp vụ cho timeline milestones; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,timeline_baseline_snapshots,P2,"Lưu dữ liệu nghiệp vụ cho timeline baseline snapshots; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,timeline_critical_paths,P2,"Lưu dữ liệu nghiệp vụ cho timeline critical paths; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D07_KANBAN_SPRINT_TIMELINE,timeline_buffer_times,P2,"Lưu dữ liệu nghiệp vụ cho timeline buffer times; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,comment_reactions,P2,"Lưu dữ liệu nghiệp vụ cho comment reactions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,comment_mentions,P2,"Lưu dữ liệu nghiệp vụ cho comment mentions; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,comment_attachments,P2,"Lưu dữ liệu nghiệp vụ cho comment attachments; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,comment_edit_history,P2,"Lưu dữ liệu nghiệp vụ cho comment edit history; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Write,Có — partition theo created_at tháng/quý; tenant_id là sub-filter bắt buộc.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_room_members,P2,"Lưu dữ liệu nghiệp vụ cho chat room members; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",Balanced,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
D08_COMMENT_CHAT_REALTIME,chat_room_settings,P2,"Lưu dữ liệu nghiệp vụ cho chat room settings; hỗ trợ audit, phân quyền tenant và mở rộng cấu hình theo project/organization.",High Read / Low Write,Không ở MVP; có thể partition theo tenant_id/created_at khi dữ liệu lớn.,"Có — dùng deleted_at, không hard delete dữ liệu nghiệp vụ."
